ORF1,ORF2
YGL172W,YGL092W
YKL002W,YER039C
YLR117C,YDR416W
YHR041C,YBR254C
YFL009W,YDR054C
YML132W,YBR054W
YNL189W,YDR480W
YLR453C,YHR158C
YLR372W,YJL214W
YNL323W,YGL195W
YOR284W,YML064C
YGL061C,YDR016C
YHR148W,YER122C
YOL146W,YMR047C
YPR086W,YOR082C
YOR138C,YGR268C
YIR002C,YDL041W
YIL035C,YHL035C
YGR218W,YAL047C
YLR295C,YDR445C
YMR153W,YFR002W
YKL081W,YCR042C
YKL201C,YHR007C
YLR291C,YER023W
YHR114W,YGL104C
YPR115W,YGR040W
YNL284C,YDR237W
YER122C,YDL145C
YNL189W,YKL069W
YER110C,YAL029C
YLR291C,YEL013W
YNL135C,YIL078W
YGR105W,YBR110W
YLR295C,YGR148C
YPL110C,YBL088C
YJL107C,YER152C
YNL092W,YMR001C
YPR016C,YDL051W
YGL137W,YDR188W
YLR291C,YGR024C
YJR091C,YBL094C
YKL122C,YDL092W
YEL034W,YBR109C
YJR035W,YJL167W
YPL059W,YIL105C
YLR423C,YGL212W
YIL016W,YDR331W
YHR165C,YCR063W
YLL026W,YKL215C
YPL270W,YJR091C
YOL139C,YHL034C
YDL002C,YBR245C
YIL061C,YAR018C
YPL153C,YMR135C
YNL169C,YBR017C
YKL002W,YJR091C
YLR343W,YBR069C
YJL125C,YFL052W
YDL165W,YAL021C
YLR372W,YBR298C
YDL148C,YBR247C
YPL161C,YJR076C
YOR269W,YHR158C
YOR075W,YDR189W
YOL128C,YKL085W
YOR144C,YNL290W
YGR155W,YGL237C
YKL081W,YIR033W
YPL264C,YOL003C
YIL038C,YGR274C
YML109W,YJR076C
YPR054W,YHR030C
YOL139C,YML064C
YKL007W,YER071C
YJR063W,YBR185C
YGL127C,YGL019W
YKR083C,YDR016C
YGL081W,YDL145C
YGL061C,YEL051W
YOL004W,YNL068C
YOR264W,YMR192W
YOR272W,YOR005C
YML077W,YDR472W
YKL002W,YER170W
YPR141C,YBR160W
YEL063C,YBR036C
YLL028W,YDR297W
YKL002W,YDR408C
YNL135C,YJR104C
YBL038W,YBL004W
YOR290C,YBL008W
YGL125W,YDR034C
YNR026C,YDR414C
YNL230C,YNL132W
YKL126W,YKL036C
YOL004W,YMR053C
YOR178C,YBR045C
YNL152W,YMR032W
YOL090W,YJL138C
YPR016C,YPL093W
YHR164C,YHR122W
YNL118C,YGR116W
YOR211C,YOR016C
YER110C,YDR148C
YFR015C,YER077C
YMR299C,YGR082W
YJL061W,YJL041W
YPR141C,YFL008W
YML064C,YBL045C
YPR105C,YMR181C
YOL068C,YBR103W
YLR115W,YHL035C
YOR370C,YOR089C
YMR244W,YER022W
YLR187W,YBR160W
YOR132W,YOR069W
YDR121W,YBL002W
YLR248W,YLR113W
YOR272W,YMR049C
YPR023C,YHR099W
YJR076C,YHR033W
YLR026C,YER157W
YOR039W,YGR090W
YLR183C,YLR037C
YGR218W,YER004W
YDR216W,YDL029W
YLR372W,YHL048W
YLR106C,YDR394W
YKL073W,YDR394W
YKL167C,YGR220C
YPR119W,YBR135W
YLL008W,YDL213C
YNL161W,YDR293C
YOL139C,YDR388W
YER178W,YDR430C
YDR311W,YDR259C
YGR218W,YER022W
YPL240C,YBR155W
YGR234W,YDR127W
YNL230C,YLR423C
YPL090C,YER146W
YLL050C,YGL179C
YNL167C,YLR113W
YMR047C,YLR094C
YLL030C,YJR091C
YLR278C,YBR160W
YMR236W,YBR270C
YML112W,YKL139W
YKL154W,YHR142W
YOL069W,YNL086W
YGR284C,YBR069C
YDR316W,YBL104C
YPR086W,YDR271C
YMR038C,YJR104C
YML114C,YDR167W
YMR149W,YKL154W
YMR311C,YDR436W
YOR047C,YFR049W
YOL133W,YGL195W
YPL264C,YDL015C
YNL201C,YDL239C
YNL225C,YBR184W
YNL021W,YKR034W
YOR176W,YLR196W
YPR035W,YBR126C
YPL001W,YOR361C
YHL030W,YDL097C
YKL196C,YGL212W
YOL133W,YNL160W
YLR257W,YLR054C
YLR291C,YER025W
YDR207C,YDR167W
YPL135W,YCL017C
YNL175C,YHR052W
YPL204W,YDL047W
YNL128W,YBR149W
YMR071C,YLR447C
YLR347C,YKL068W
YGR158C,YDL111C
YNL291C,YCL027W
YDL239C,YCL032W
YOR351C,YMR323W
YNL315C,YDL165W
YLR166C,YBR102C
YBR084W,YBL024W
YJL014W,YBR198C
YDR060W,YBL004W
YDR111C,YBR158W
YLR117C,YBR060C
YPL115C,YMR273C
YKR083C,YBR137W
YFL038C,YER156C
YMR047C,YBR130C
YLR372W,YGR191W
YDR054C,YDL132W
YOR231W,YHR030C
YNL110C,YER126C
YPR051W,YEL053C
YNL135C,YDR129C
YEL034W,YBR055C
YKL112W,YIL035C
YPL211W,YGR014W
YOR016C,YMR215W
YIR034C,YHR135C
YGR274C,YDR176W
YOR098C,YCR086W
YPL204W,YMR307W
YMR001C,YJR053W
YER021W,YBR217W
YOR307C,YDR331W
YKR077W,YBR160W
YGR103W,YER006W
YHR058C,YBL093C
YOL004W,YIL035C
YKL104C,YKL081W
YKL170W,YGR091W
YOR026W,YJL013C
YGR250C,YAL036C
YPR049C,YDR228C
YER022W,YDR176W
YOL156W,YLR372W
YHR197W,YBR251W
YLR277C,YKL059C
YKR001C,YGR274C
YMR306W,YFL062W
YFL041W,YEL063C
YLR288C,YLR150W
YGR060W,YDL015C
YKL103C,YFL034W
YGL137W,YBR018C
YML075C,YGR260W
YOR264W,YNR068C
YLR401C,YBR160W
YDL226C,YDL153C
YPL194W,YPL029W
YIL048W,YER146W
YGR218W,YGR178C
YNL130C,YGL200C
YJL012C,YGR191W
YOR299W,YOL064C
YHR041C,YEL066W
YOR254C,YJL034W
YMR028W,YDL047W
YML001W,YGL161C
YMR139W,YAL029C
YOL087C,YDL145C
YOR036W,YLR083C
YDR462W,YBL038W
YPL074W,YNL088W
YML046W,YLR116W
YOR249C,YNL172W
YLL040C,YBR109C
YER022W,YDR069C
YPR128C,YNL048W
YMR303C,YDR386W
YMR284W,YFL022C
YLR340W,YEL034W
YOR370C,YLR403W
YGL237C,YDR022C
YML064C,YBR137W
YOR244W,YML007W
YPL042C,YAL021C
YJR138W,YBR009C
YKL065C,YBR036C
YGR002C,YDR146C
YLR052W,YDL002C
YLR175W,YHR089C
YOL115W,YDL175C
YDR414C,YCR100C
YHR107C,YDR507C
YDR301W,YDR195W
YPL204W,YOR332W
YLR399C,YIL002C
YOR335C,YBR055C
YGR195W,YGR158C
YOL030W,YAR027W
YML001W,YER136W
YHR041C,YDR176W
YNL189W,YER107C
YIL125W,YCR079W
YPL160W,YPL111W
YOL115W,YNL039W
YNL093W,YNL032W
YHR216W,YGR262C
YLR115W,YKR002W
YJL020C,YBL002W
YOL149W,YGR218W
YIR039C,YCR003W
YPR086W,YER073W
YLR083C,YEL017C-A
YJL081C,YGL237C
YMR268C,YDR378C
YGR179C,YGR140W
YKR101W,YDR227W
YOR088W,YMR043W
YPR201W,YDR506C
YPL092W,YHL048W
YOR177C,YMR216C
YGL061C,YDL178W
YLR420W,YJR091C
YMR167W,YER095W
YLR288C,YBR091C
YGR040W,YGL008C
YPR051W,YCR020C-A
YOR151C,YBR236C
YOR250C,YGL044C
YJL157C,YBR160W
YGR098C,YDR388W
YIL045W,YAR014C
YOR004W,YNL092W
YPL086C,YLR384C
YOR061W,YOL145C
YOL132W,YOL018C
YMR032W,YHR061C
YKL056C,YHR107C
YJR091C,YHR156C
YLR233C,YLR196W
YOL126C,YMR246W
YML038C,YLR452C
YLR189C,YGR220C
YGR060W,YDR343C
YOR249C,YBL084C
YLR093C,YBL078C
YPR086W,YOL111C
YLR293C,YAR002W
YMR313C,YIL026C
YHR178W,YDL164C
YIL142W,YER082C
YLR006C,YBR160W
YMR101C,YAL012W
YJL070C,YBL100C
YMR047C,YDR372C
YMR273C,YGL194C
YHR064C,YBR234C
YML048W,YLR372W
YDR148C,YDL225W
YKL014C,YBR160W
YLR004C,YBR159W
YML124C,YDR060W
YLR384C,YBR154C
YNL239W,YDR189W
YOR272W,YER133W
YHR166C,YFR036W
YGR216C,YCR101C
YIL104C,YCL014W
YFL013C,YDL002C
YKR002W,YJR093C
YLR372W,YHL042W
YGL061C,YER127W
YJR091C,YDL208W
YDL200C,YDL192W
YLR295C,YGL010W
YCR098C,YBR106W
YFL018C,YDR388W
YJR117W,YJR010C-A
YPL211W,YNL061W
YML064C,YDR155C
YNL329C,YJR022W
YOR324C,YOR264W
YGL208W,YER027C
YOL090W,YDR097C
YLR433C,YIR009W
YPL265W,YGR165W
YPL064C,YGL127C
YJL184W,YCR098C
YMR309C,YBR234C
YLR082C,YBR004C
YNL098C,YLR310C
YOR188W,YNL271C
YNL070W,YLR155C
YNL075W,YJR002W
YNL101W,YGR284C
YOR001W,YBR160W
YGR155W,YER161C
YPL070W,YHL018W
YPL174C,YLR423C
YOL105C,YJR082C
YGR285C,YGR162W
YLR045C,YHR172W
YER110C,YDR062W
YOR381W,YNR019W
YPR069C,YLR146C
YKR050W,YHR007C
YLL061W,YGR277C
YGR120C,YGL223C
YGL198W,YER031C
YGR013W,YDL087C
YOL069W,YLR086W
YPL204W,YDL153C
YML109W,YBL085W
YMR069W,YLL047W
YDL219W,YDL047W
YOR264W,YDR115W
YOL142W,YOL021C
YOL051W,YDR308C
YOL028C,YBR162C
YDR224C,YBR083W
YMR300C,YCR057C
YOR104W,YBR160W
YOR039W,YER022W
YOR326W,YOL133W
YNL232W,YNL189W
YGL194C,YDR155C
YPL076W,YNL238W
YML092C,YFL007W
YNL153C,YGR078C
YKR026C,YDR342C
YLR210W,YBR160W
YLR291C,YDR211W
YLR447C,YHR060W
YHL042W,YFL040W
YLL050C,YGL241W
YDR062W,YBR036C
YIR006C,YDL161W
YMR124W,YLR423C
YNL016W,YGL122C
YIL010W,YGL181W
YNR066C,YML038C
YHL048W,YDL212W
YCL024W,YAL027W
YOL132W,YEL063C
YPL235W,YER179W
YNL288W,YAL021C
YOL010W,YBR247C
YNL164C,YNL091W
YGL022W,YBR054W
YER133W,YDR301W
YEL043W,YDL074C
YLR371W,YBR011C
YJL167W,YDL186W
YGL057C,YBL016W
YHR061C,YCL032W
YKL177W,YHR114W
YPR160W,YGL115W
YML042W,YDL065C
YHR005C,YDR179C
YKL213C,YBL058W
YML075C,YBR243C
YOR279C,YOL068C
YOL135C,YCR081W
YMR309C,YAL035W
YKL221W,YDR205W
YLR295C,YJL166W
YML048W,YFL062W
YDL213C,YAR073W
YOR116C,YKL060C
YPL110C,YIL035C
YKL012W,YHR086W
YJR091C,YDL052C
YOR181W,YJL100W
YPL140C,YGL116W
YLL029W,YGL220W
YOR367W,YCR088W
YDR322W,YBL038W
YIL021W,YDL115C
YOL133W,YJL020C
YJL157C,YAL041W
YNL306W,YDR036C
YMR047C,YBR273C
YER158C,YAR014C
YPR182W,YPL213W
YMR047C,YGL236C
YPL264C,YBR159W
YKL011C,YHR033W
YJR076C,YGR162W
YLR116W,YIL130W
YGR218W,YCR077C
YNL287W,YGR120C
YNL189W,YHR086W
YER110C,YBL087C
YOR047C,YGL237C
YML023C,YER038C
YLR117C,YKL095W
YJR108W,YDL130W
YOR341W,YOL133W
YMR093W,YER082C
YLR216C,YGR262C
YKL023W,YHR057C
YNL167C,YCR084C
YHR082C,YDR127W
YNL298W,YBR160W
YER049W,YDR503C
YDR499W,YDR097C
YLR295C,YGR081C
YOR176W,YDL134C
YDL167C,YBL081W
YHR197W,YBR039W
YMR047C,YLR090W
YOR098C,YKL061W
YEL002C,YBR159W
YGL051W,YAR033W
YPL200W,YBR286W
YOR181W,YDR342C
YNL161W,YIR016W
YOR005C,YDR225W
YJR022W,YJL124C
YOR145C,YDL060W
YKL116C,YGR097W
YPL234C,YMR215W
YIR004W,YGL061C
YPL042C,YDR443C
YDL047W,YDL029W
YPL042C,YDR477W
YDR331W,YDR276C
YGR268C,YDL239C
YDL121C,YDL100C
YGL130W,YER155C
YNL135C,YMR059W
YKL173W,YJL124C
YGR264C,YDR386W
YLR288C,YHR180W
YPR110C,YOR136W
YJR002W,YER082C
YOR127W,YBR160W
YLR423C,YBR102C
YKL193C,YDL213C
YER182W,YDR128W
YIL162W,YBR283C
YHR089C,YBR017C
YPR071W,YLR465C
YLR295C,YIR036C
YNL334C,YJR048W
YOR284W,YLR291C
YNL175C,YHR180W
YOL077C,YNL110C
YIL035C,YDR116C
YLL028W,YCR034W
YPR178W,YDL208W
YPL043W,YMR049C
YNL210W,YDR247W
YER043C,YDR034C
YOL130W,YNL086W
YPL082C,YKR001C
YDR477W,YDL192W
YDR383C,YBR061C
YIL035C,YDR365C
YPR041W,YML010W
YKR101W,YGL127C
YBR039W,YBL099W
YNR010W,YDL005C
YPR072W,YCR093W
YKL196C,YBL039C
YLR078C,YIL076W
YOR181W,YML123C
YLR355C,YDR388W
YML058W,YEL030W
YPR029C,YLR170C
YML056C,YLR383W
YPR034W,YGR040W
YNL312W,YLR109W
YMR304W,YJL141C
YPR159W,YPL259C
YLR262C,YGL198W
YKL154W,YEL063C
YLR026C,YGL223C
YPL178W,YDR432W
YDR158W,YDL101C
YGR218W,YER062C
YPR192W,YPR156C
YML077W,YKR068C
YOR285W,YNL208W
YMR308C,YDR148C
YNL118C,YCR077C
YOL020W,YDL212W
YMR202W,YGL127C
YPL256C,YDL132W
YHR020W,YDR062W
YIL150C,YGL201C
YNL044W,YER005W
YDR247W,YDR071C
YEL027W,YDL054C
YJL219W,YCR034W
YLR277C,YKL018W
YNR017W,YML054C
YDR301W,YAL043C
YNL032W,YDR343C
YNL271C,YLR229C
YML006C,YLR096W
YJR022W,YDR228C
YPL227C,YHR133C
YNL141W,YLR225C
YML099C,YKL145W
YMR106C,YBR018C
YGR060W,YEL017C-A
YLR386W,YIL061C
YPL240C,YIR042C
YPL161C,YIL163C
YLR208W,YKR082W
YIL033C,YHR135C
YLR293C,YDR335W
YNL189W,YFR047C
YPR086W,YOL150C
YMR055C,YLR314C
YPL043W,YLR427W
YML075C,YBR106W
YLR274W,YGL201C
YDR041W,YBR251W
YPR086W,YLR457C
YLR074C,YHR052W
YJR132W,YGL043W
YPL132W,YGL054C
YNL272C,YIL131C
YOR174W,YBL093C
YPL204W,YLR310C
YLR357W,YAL041W
YLR372W,YBR290W
YMR296C,YDR331W
YGL172W,YER110C
YLR207W,YGL042C
YPR156C,YCR034W
YDR463W,YBR155W
YPL178W,YLR275W
YER081W,YDR524C
YDR414C,YBL040C
YOR349W,YER007W
YGR246C,YGR047C
YDR046C,YBR106W
YNL047C,YGR058W
YGL051W,YDR331W
YIL125W,YDL147W
YBR205W,YBR017C
YNL138W,YLR222C
YGR182C,YBR061C
YOR254C,YCR028C
YFR017C,YER177W
YPL088W,YOR226C
YMR109W,YGL190C
YOR227W,YER133W
YGR091W,YDR322W
YPR025C,YDR460W
YLR222C,YFR021W
YER110C,YAL007C
YML085C,YER016W
YPR102C,YLR288C
YKR083C,YKL052C
YNL101W,YBR183W
YNL154C,YHR135C
YDR060W,YDL014W
YPL076W,YNL048W
YOL045W,YAL019W
YPR104C,YDR510W
YGL121C,YDL188C
YOR027W,YNL311C
YLR181C,YBR278W
YLR033W,YBR245C
YIL038C,YER146W
YHR123W,YCR034W
YHR018C,YGL137W
YPR149W,YER081W
YPL019C,YLR203C
YMR092C,YLR102C
YLR025W,YDR541C
YOR206W,YER126C
YKR081C,YGL111W
YPL002C,YLR417W
YBR084W,YBR009C
YPL007C,YBR123C
YEL063C,YCR010C
YIR040C,YDR108W
YOR099W,YOL132W
YLR423C,YBL106C
YIL063C,YER009W
YML062C,YDR138W
YNL130C,YBR159W
YOR178C,YHR005C
YLR288C,YJL210W
YKL065C,YGR060W
YJR091C,YDR271C
YNL230C,YHR052W
YML116W,YDR034C
YKL173W,YDL087C
YHR129C,YER100W
YLR127C,YGR052W
YLR134W,YDL017W
YMR319C,YJR053W
YPL004C,YDR200C
YOR264W,YJL055W
YPR041W,YMR309C
YDR328C,YBR203W
YHR114W,YGL222C
YKL196C,YAR027W
YNL135C,YIL149C
YLR319C,YFL039C
YMR047C,YJR019C
YHR166C,YGL003C
YJL154C,YHR012W
YPL178W,YML117W
YKL068W,YGL092W
YER006W,YDL213C
YML104C,YDL030W
YPL032C,YNL106C
YKL130C,YDR174W
YML079W,YLR295C
YNL227C,YJR022W
YNR053C,YER172C
YOR368W,YLR288C
YLR224W,YDR328C
YPL255W,YPL124W
YER164W,YBR245C
YOL145C,YHR012W
YOL087C,YKL073W
YHR110W,YGL200C
YNL263C,YNL093W
YER133W,YBL007C
YNL271C,YMR109W
YPL012W,YOR080W
YPL076W,YOL003C
YHL030W,YEL037C
YGR241C,YGL181W
YDR103W,YBL016W
YKL002W,YEL074W
YDR190C,YAL021C
YNL244C,YHR019C
YOR272W,YIL137C
YHR165C,YGR278W
YLR109W,YKL011C
YCL039W,YBR105C
YKR048C,YGL241W
YFL006W,YDR227W
YPR171W,YGL181W
YNL157W,YDR155C
YOR016C,YMR149W
YPL191C,YIL128W
YML126C,YFL039C
YJL076W,YIL131C
YLR083C,YFL041W
YKL059C,YJR093C
YOL070C,YNL078W
YHR041C,YER022W
YNL273W,YKL068W
YNR006W,YHL002W
YPR181C,YJL092W
YOL068C,YCR033W
YIL088C,YHR188C
YNL090W,YNL085W
YOR212W,YHL004W
YOR068C,YBR207W
YFR052W,YDR273W
YJR091C,YAR031W
YMR080C,YJL124C
YLR347C,YFR047C
YLR453C,YBR215W
YPL149W,YAL012W
YLR229C,YDR143C
YLR229C,YER008C
YPL140C,YIL094C
YLR074C,YLR009W
YGL104C,YDR331W
YMR160W,YJR091C
YLR200W,YFL023W
YCL052C,YBR290W
YKL190W,YGL070C
YOR016C,YLL028W
YLR109W,YDL200C
YPL248C,YGR104C
YLR438W,YBR217W
YNL311C,YNL116W
YPR003C,YJR091C
YJL015C,YHR041C
YIL035C,YER161C
YOL082W,YDR311W
YER032W,YEL015W
YPR078C,YLR447C
YJR091C,YDR268W
YKL129C,YDL029W
YOR205C,YBR251W
YMR125W,YDR225W
YNR058W,YLR105C
YHR114W,YBL087C
YHR102W,YDR229W
YJR121W,YDR377W
YMR153W,YHR190W
YHL022C,YGL213C
YPR119W,YBR048W
YBR009C,YAL035W
YGR120C,YFL038C
YFR040W,YFR021W
YMR080C,YLR363C
YDR307W,YBR036C
YOL004W,YDR169C
YKR054C,YBR009C
YEL013W,YEL005C
YML008C,YCL023C
YOR302W,YMR134W
YGL173C,YER112W
YMR052W,YDL133W
YGL070C,YER180C
YBR221C,YBR208C
YBR198C,YBR081C
YLR399C,YDR328C
YPL012W,YLR233C
YIL016W,YFL062W
YKL146W,YBR159W
YNL023C,YJL020C
YLR249W,YAL029C
YPL011C,YBR198C
YPL150W,YKR048C
YPL204W,YHR179W
YJL030W,YGR014W
YJR091C,YEL070W
YER082C,YDL014W
YPL264C,YJL004C
YIL105C,YDR326C
YOL135C,YIL077C
YNL189W,YIR011C
YHR123W,YBR295W
YNL138W,YLL050C
YNL250W,YJR112W
YJL074C,YGR234W
YPR069C,YFR028C
YDR496C,YBR142W
YMR294W,YGL172W
YNL306W,YHL004W
YOL090W,YNL021W
YGL092W,YDR335W
YGL104C,YBR159W
YMR226C,YHR135C
YIL141W,YER022W
YGR103W,YDR087C
YPR105C,YGL145W
YKL103C,YEL071W
YPL203W,YLR177W
YOR057W,YMR186W
YMR291W,YGL115W
YJL108C,YFL062W
YPL056C,YGR218W
YLL004W,YJL194W
YOR114W,YJR091C
YGR040W,YBR083W
YHR019C,YBR055C
YHR188C,YBR296C
YGR274C,YCR042C
YMR094W,YDL192W
YHR114W,YDL146W
YKL104C,YDR062W
YJR017C,YDR457W
YJR077C,YER100W
YHL003C,YDR331W
YLR298C,YER029C
YMR209C,YGL204C
YLR343W,YHR140W
YMR065W,YLR454W
YGR094W,YGL112C
YLR295C,YHR140W
YGR060W,YBR106W
YGR163W,YGR098C
YGL127C,YDR408C
YJR077C,YBR069C
YOR326W,YMR139W
YHR169W,YER070W
YGR192C,YDL042C
YMR012W,YGL130W
YGL070C,YBR107C
YOR352W,YIL025C
YNL196C,YLR447C
YKL085W,YHR183W
YPL043W,YMR290C
YMR047C,YIL074C
YML069W,YBR234C
YKL165C,YBR106W
YPL169C,YDR381W
YCL028W,YAL021C
YDR226W,YDL043C
YER110C,YER095W
YHR201C,YBR217W
YKR081C,YER006W
YHR002W,YBR085W
YHR122W,YDR219C
YNR031C,YLR006C
YMR153W,YJL057C
YGR260W,YDL212W
YNL118C,YML099C
YPL264C,YAL007C
YDR385W,YAR002W
YMR012W,YIR001C
YER012W,YBR193C
YNL006W,YMR068W
YJR094C,YJL106W
YKL048C,YJR113C
YPL204W,YNL027W
YLR030W,YDR212W
YGR215W,YBR251W
YNL264C,YBL026W
YIL128W,YER068W
YGR174C,YDR331W
YOR059C,YHR114W
YGR199W,YDR414C
YPL076W,YAR033W
YNL006W,YFR039C
YMR215W,YBR036C
YML064C,YLL050C
YLR295C,YLR215C
YOR080W,YGL100W
YKL127W,YHR142W
YMR032W,YER144C
YPL045W,YLR396C
YNL061W,YHR089C
YOR080W,YBL076C
YPR082C,YGR091W
YPL255W,YLR392C
YJR022W,YBL026W
YGL245W,YBR136W
YKR052C,YGR260W
YLR320W,YDL215C
YJL092W,YBR160W
YOR037W,YDL199C
YLR222C,YBR057C
YJL194W,YDR196C
YNL334C,YNL333W
YJR144W,YDR097C
YMR058W,YIL016W
YGL198W,YGL161C
YER110C,YBR069C
YFL060C,YFL059W
YBR298C,YBR106W
YMR054W,YGL127C
YKL059C,YDR228C
YPR165W,YPL161C
YDL025C,YAL049C
YNL145W,YLR358C
YMR213W,YAL032C
YDL145C,YCR093W
YLR423C,YDR357C
YNL016W,YIR017C
YHR135C,YAL016W
YOL078W,YKL203C
YPR108W,YML057W
YOL041C,YIL035C
YNL323W,YDR212W
YLR295C,YHR138C
YDL153C,YDL005C
YJR010C-A,YDR297W
YOR264W,YLR249W
YLL026W,YJR017C
YDL145C,YBR039W
YOR319W,YBR103W
YMR047C,YGR056W
YNL172W,YGL240W
YER057C,YDL190C
YOR372C,YBR160W
YOR335C,YNL135C
YNR069C,YNL189W
YOR159C,YGR269W
YIL079C,YAL041W
YGL087C,YER125W
YJL045W,YFR024C-A
YPL115C,YBL026W
YIL061C,YAL047C
YMR094W,YDR328C
YNL118C,YGL049C
YMR253C,YBL007C
YDR502C,YDR062W
YLR427W,YGR090W
YOL149W,YEL015W
YNL106C,YNL055C
YJL194W,YBR060C
YPR181C,YDR386W
YBR238C,YBL085W
YOR016C,YDR297W
YGL149W,YDR328C
YDR172W,YBR143C
YOL139C,YKL204W
YOR043W,YEL034W
YLR206W,YBL106C
YEL002C,YDL212W
YLR295C,YJR083C
YJR091C,YCL063W
YLR372W,YBR036C
YJL141C,YGR184C
YLL061W,YBR106W
YMR049C,YDL213C
YPL213W,YJR050W
YPR198W,YBR036C
YHR094C,YBR106W
YLR335W,YGR119C
YMR319C,YBL036C
YNL100W,YCL056C
YLR319C,YGL015C
YOL054W,YBR009C
YPL244C,YMR020W
YPL204W,YDL065C
YOR069W,YLR034C
YJR076C,YDR507C
YPL070W,YJL218W
YLR293C,YER052C
YGL122C,YDR505C
YJR117W,YJL196C
YNL118C,YBL026W
YPR016C,YLL008W
YOR098C,YKR064W
YKR030W,YBL106C
YLR293C,YFR034C
YOR282W,YLL018C
YLR386W,YGR061C
YJL020C,YIR003W
YPL126W,YGR256W
YHR027C,YBR160W
YJR091C,YBR184W
YLR372W,YEL063C
YNL124W,YER020W
YOL065C,YIR038C
YJR022W,YJL004C
YKR001C,YBR245C
YFR031C,YFL008W
YEL051W,YCL032W
YGL157W,YGL127C
YCR057C,YBL003C
YDR138W,YCL011C
YLR438W,YHR169W
YJL069C,YIL035C
YPL124W,YLR295C
YKR023W,YCL027W
YBR283C,YBR159W
YOR160W,YIL115C
YOR308C,YJR022W
YLR295C,YIL117C
YML056C,YGR262C
YIL125W,YFR016C
YJL124C,YBR214W
YHR042W,YBR180W
YMR192W,YFR024C
YOL054W,YIL070C
YJL092W,YDR078C
YPR086W,YBR209W
YHR013C,YBR084W
YKR030W,YBL007C
YKR060W,YCL059C
YOR154W,YLR216C
YOR089C,YLR227C
YOR043W,YBL026W
YPL140C,YNL037C
YLR143W,YJR022W
YDR259C,YDR034C
YOL086C,YGL009C
YPL208W,YML028W
YIL095W,YEL030W
YLR056W,YHR128W
YPL265W,YHL042W
YLR233C,YDR194C
YOL135C,YDR448W
YHR174W,YGR261C
YGR295C,YDL128W
YML109W,YBR103W
YHR034C,YCR060W
YMR229C,YIL035C
YDR365C,YDR224C
YGL233W,YBR200W
YGR145W,YCR057C
YPR128C,YGL114W
YER146W,YER025W
YNL271C,YDR021W
YPL194W,YLR288C
YPR173C,YJR082C
YER124C,YER114C
YPL234C,YEL002C
YLR284C,YGL153W
YPR135W,YLR416C
YOR260W,YLR044C
YPR040W,YOR075W
YFR003C,YER133W
YMR128W,YDR280W
YGR274C,YDR145W
YNL284C,YDR462W
YFR030W,YBR160W
YPR171W,YBR160W
YDR328C,YDL185W
YPR160W,YNL118C
YOR073W,YGR262C
YOL133W,YIL046W
YKL009W,YEL041W
YOR007C,YNL161W
YNL014W,YCR079W
YLR460C,YLR295C
YMR303C,YFL042C
YOR226C,YAL038W
YPR165W,YEL071W
YMR047C,YDR040C
YER114C,YEL043W
YEL030W,YDL164C
YKR014C,YGL198W
YJR002W,YDL153C
YOR042W,YFR024C-A
YNL007C,YIR040C
YMR109W,YDL029W
YLR372W,YCR028C
YGL190C,YDL188C
YPR062W,YNL189W
YHL042W,YBR298C
YDR472W,YBR254C
YHR064C,YFR028C
YPL204W,YOR232W
YDL005C,YBR079C
YOR080W,YDR328C
YKL007W,YIL034C
YLR172C,YJR091C
YMR129W,YFR002W
YNL148C,YML124C
YOL133W,YGR211W
YNL006W,YJL058C
YHR152W,YER022W
YNL334C,YHR135C
YPL010W,YDL145C
YPR086W,YOR064C
YPR108W,YBR217W
YGL223C,YER157W
YMR012W,YBR160W
YLL024C,YKL068W
YML126C,YIL094C
YMR077C,YKL052C
YMR080C,YHR077C
YLR086W,YGR089W
YCL017C,YBL106C
YIL150C,YBL023C
YEL043W,YDR201W
YPL124W,YPL070W
YLR129W,YJL069C
YPL204W,YKR028W
YOR159C,YHR041C
YDR363W,YDR275W
YOL139C,YGL115W
YLR456W,YIR009W
YNL207W,YKL143W
YLR372W,YBR183W
YGR145W,YGR090W
YOL139C,YDL087C
YMR293C,YER022W
YIL066C,YDL029W
YPL051W,YGL183C
YPL125W,YGR119C
YPL264C,YKL154W
YHR096C,YDL245C
YPL178W,YDR034C
YBR036C,YAL007C
YOL030W,YJR055W
YDR034C,YCR095C
YIL039W,YDR453C
YLR417W,YJR102C
YOL108C,YBL103C
YHR171W,YBL078C
YDL116W,YDL044C
YPR084W,YOR128C
YPL082C,YBR245C
YGR245C,YER006W
YCR011C,YBR290W
YLR116W,YDR260C
YMR168C,YMR094W
YHR108W,YGR218W
YDR343C,YBL036C
YOR272W,YBR142W
YMR049C,YER120W
YKL068W,YDL116W
YMR219W,YDR227W
YGR013W,YBR119W
YML038C,YBR250W
YDR443C,YAL021C
YNR016C,YDL047W
YGR066C,YDR259C
YPL065W,YCL008C
YOR080W,YDL031W
YLL028W,YAL018C
YOL149W,YJL124C
YDL148C,YCR057C
YPL016W,YIR009W
YDR448W,YDR392W
YNL028W,YLR447C
YML109W,YAL004W
YML130C,YCR057C
YER124C,YER112W
YJL153C,YDL100C
YNL130C,YAL007C
YKL112W,YBR114W
YLR440C,YGR074W
YPL020C,YML008C
YOR028C,YLR247C
YMR096W,YMR095C
YJR022W,YBR034C
YNL016W,YJR138W
